Mods count: 141
 
                                   jar name                                     |    notes     |               mod id                |                    mod name                     |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
create-enchantment-industry-2.3.0.jar                                           |              | create_enchantment_industry         | Create: Enchantment Industry                    | 2.3.0                          | create_enchantment_industry.mixins.json                                                                                                                                                                                                                                                                                                                             | d9cef051c5318d27c634184bfb1ef35550b96789 | 1471987906     
create-shufflefilter-2.0.1-neo.jar                                              |              | createshufflefilter                 | Create Shuffle Filter                           | 2.0.1                          | createshufflefilter.mixins.json                                                                                                                                                                                                                                                                                                                                     | 315aca0a2992355d22798f7e9e1492e397b35050 | 837441505      
create_connected-1.1.13-mc1.21.1.jar                                            |              | create_connected                    | Create: Connected                               | 1.1.13-mc1.21.1                | create_connected.mixins.json                                                                                                                                                                                                                                                                                                                                        | 59314285929fb405e667a1dd8d1c32cddbd69a18 | 325983306      
create_factory_logistics-1.21.1-1.4.9.jar                                       |              | create_factory_logistics            | Create Factory Logistics                        | 1.4.9                          | mixins.create_factory_logistics.json                                                                                                                                                                                                                                                                                                                                | f1cfba2e7fc290cc4083c6fff9080c43becee46a | 2047615309     
    /META-INF/jars/create_factory_abstractions-1.21.1-1.4.9.jar                 |              | create_factory_abstractions         | Create Factory Abstractions                     | 1.4.9                          |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
create_mob_spawners-1.0.0.jar                                                   |              | create_mob_spawners                 | Create: Mob Spawners                            | 1.0.0                          | create_mob_spawners.common.mixins.json, create_mob_spawners.client.mixins.json                                                                                                                                                                                                                                                                                      | 43f6627a7670c0053f76127eac51d0ff2985ce9e | 124658521      
create_pattern_schematics-2.0.10.jar                                            |              | create_pattern_schematics           | Create: Pattern Schematics                      | 2.0.10                         | pattern_schematics.mixins.json                                                                                                                                                                                                                                                                                                                                      | e3dea574c3b3d590444796a42e8f7456280b1063 | 3055861905     
create_trimmed.jar                                                              |              | create_trimmed                      | Create: Trimmed                                 | 1.0.1                          |                                                                                                                                                                                                                                                                                                                                                                     | 2a7e00032f611c06f9e5fa2e743052552f5cb5c9 | 3693627540     
create_vibrant_vaults-0.3.2.jar                                                 |              | create_vibrant_vaults               | Create: Vibrant Vaults                          | 0.3.2                          | create_vibrant_vaults.mixins.json                                                                                                                                                                                                                                                                                                                                   | d0dbdde6318c4dd4ede1d2c091f1a64896ba872a | 4167690845     
createadditionallogistics-1.21.1-1.4.5.jar                                      |              | createadditionallogistics           | Create: Additional Logistics                    | 1.4.5                          | createadditionallogistics.mixins.json                                                                                                                                                                                                                                                                                                                               | 6acf4d30516b6bf66928aa5d79d6bac6283de44e | 4040856701     
createbetterfps-1.21.1-1.1.3.jar                                                |              | createbetterfps                     | CreateBetterFps                                 | 1.1.3                          | createbetterfps.mixins.json                                                                                                                                                                                                                                                                                                                                         | cd8152d80a36e872690da101a8262877e854ceee | 170550105      
createcobblestone-1.4.9+neoforge-1.21.1-130.jar                                 |              | createcobblestone                   | Create cobblestone                              | 1.4.9+neoforge-1.21.1-130      | createcobblestone.mixins.json                                                                                                                                                                                                                                                                                                                                       | 81e7ce19674f53d1649c3ddf5aa7039c902beece | 1523054807     
